classname,method,docstring,annotations,method_definition
org.apache.commons.beanutils.ConstructorUtilsTestCase,void testInvokeExactConstructorWithTypeArray(),,,"public void testInvokeExactConstructorWithTypeArray() throws Exception {
        {
            final Object[] args = { Boolean.TRUE, ""TEST"" };
            final Class<?>[] types = { Boolean.TYPE, String.class };
            final Object obj = ConstructorUtils.invokeExactConstructor(TestBean.class,args,types);
            assertNotNull(obj);
            assertTrue(obj instanceof TestBean);
            assertEquals(true,((TestBean)obj).getBooleanProperty());
            assertEquals(""TEST"",((TestBean)obj).getStringProperty());
        }
        {
            final Object[] args = { Boolean.TRUE, ""TEST"" };
            final Class<?>[] types = { Boolean.class, String.class };
            final Object obj = ConstructorUtils.invokeExactConstructor(TestBean.class,args,types);
            assertNotNull(obj);
            assertTrue(obj instanceof TestBean);
            assertEquals(true,((TestBean)obj).isBooleanSecond());
            assertEquals(""TEST"",((TestBean)obj).getStringProperty());
        }
        {
            final Object[] args = { new Float(17.3f), ""TEST"" };
            final Class<?>[] types = { Float.TYPE, String.class };
            final Object obj = ConstructorUtils.invokeExactConstructor(TestBean.class,args,types);
            assertNotNull(obj);
            assertTrue(obj instanceof TestBean);
            assertEquals(17.3f,((TestBean)obj).getFloatProperty(),0.0f);
            assertEquals(""TEST"",((TestBean)obj).getStringProperty());
        }
        {
            final Object[] args = { new Float(17.3f), ""TEST"" };
            final Class<?>[] types = { Float.class, String.class };
            try {
                ConstructorUtils.invokeExactConstructor(TestBean.class,args,types);
                fail(""Expected NoSuchMethodException"");
            } catch(final NoSuchMethodException e) {
                // expected
            }
        }
    }"
org.apache.commons.beanutils.ConstructorUtilsTestCase,void testGetAccessibleConstructor(),,,"public void testGetAccessibleConstructor() throws Exception {
        {
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(TestBean.class,String.class);
            assertNotNull(ctor);
            assertTrue(Modifier.isPublic(ctor.getModifiers()));
        }
        {
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(TestBean.class,Integer.class);
            assertNotNull(ctor);
            assertTrue(Modifier.isPublic(ctor.getModifiers()));
        }
        {
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(TestBean.class,Integer.TYPE);
            assertNull(ctor);
        }
    }"
org.apache.commons.beanutils.ConstructorUtilsTestCase,void testGetAccessibleConstructorWithTypeArray(),,,"public void testGetAccessibleConstructorWithTypeArray() throws Exception {
        {
            final Class<?>[] types = { Boolean.TYPE, String.class };
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(TestBean.class,types);
            assertNotNull(ctor);
            assertTrue(Modifier.isPublic(ctor.getModifiers()));
        }
        {
            final Class<?>[] types = { Boolean.TYPE, Boolean.TYPE, String.class };
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(TestBean.class,types);
            assertNull(ctor);
        }
    }"
org.apache.commons.beanutils.ConstructorUtilsTestCase,void testGetAccessibleConstructorWithConstructorArg(),,,"public void testGetAccessibleConstructorWithConstructorArg() throws Exception {
        {
            final Class<?>[] types = { Integer.class };
            final Constructor<?> c1 = TestBean.class.getConstructor(types);
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(c1);
            assertNotNull(ctor);
            assertTrue(Modifier.isPublic(ctor.getModifiers()));
        }
        {
            final Class<?>[] types = { Integer.class };
            final Constructor<?> c1 = TestBean.class.getDeclaredConstructor(types);
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(c1);
            assertNotNull(ctor);
            assertTrue(Modifier.isPublic(ctor.getModifiers()));
        }
        {
            final Class<?>[] types = { Integer.TYPE };
            final Constructor<?> c1 = TestBean.class.getDeclaredConstructor(types);
            final Constructor<?> ctor = ConstructorUtils.getAccessibleConstructor(c1);
            assertNull(ctor);
        }
    }"
org.apache.commons.beanutils.AbstractParent,getChild(),,,"public Child getChild()
    {
        return child;
    }"
org.apache.commons.beanutils.AbstractParent,testAddChild(final String badParameter),"/**
     * Method which matches signature but which has wrong parameters
     */",,"public String testAddChild(final String badParameter) {
        return null;
    }"
org.apache.commons.beanutils.AbstractParent,"testAddChild2(final String ignore, final String badParameter)","/**
     * Method which matches signature but which has wrong parameters
     */",,"public String testAddChild2(final String ignore, final String badParameter) {
        return null;
    }"
org.apache.commons.beanutils.AbstractParent,testAddChild(final Child child),,,"public String testAddChild(final Child child) {
        this.child = child;
        return child.getName();
    }"
org.apache.commons.beanutils.AbstractParent,"testAddChild2(final String ignore, final Child child)",,,"public String testAddChild2(final String ignore, final Child child) {
        this.child = child;
        return child.getName();
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void setUp(),"/**
     * Set up instance variables required by this test case.
     */",,"@Override
    public void setUp() throws Exception {

        bean = new WrapDynaBean(new TestBean());

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,suite(),"/**
     * Return the tests included in this test suite.
     */",,"public static Test suite() {

        return (new TestSuite(WrapDynaBeanTestCase.class));

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void tearDown(),"/**
     * Tear down instance variables required by this test case.
     */",,"@Override
    public void tearDown() {

        bean = null;

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testSimpleProperties(),"/**
     * The <code>set()</code> method.
     */",,"public void testSimpleProperties() {

        checkSimplePropertyAccess();

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void checkSimplePropertyAccess(),"/**
     * Helper method for testing whether basic access to properties works as
     * expected.
     */",,"private void checkSimplePropertyAccess() {
        // Invalid getter
        try {
            bean.get(""invalidProperty"");
            fail(""Invalid get should have thrown IllegalArgumentException"");
        } catch (final IllegalArgumentException t) {
            // Expected result
        }

        // Invalid setter
        try {
            bean.set(""invalidProperty"", ""XYZ"");
            fail(""Invalid set should have thrown IllegalArgumentException"");
        } catch (final IllegalArgumentException t) {
            // Expected result
        }

        // Set up initial Value
        String testValue = ""Original Value"";
        final String testProperty = ""stringProperty"";
        final TestBean instance = (TestBean)((WrapDynaBean)bean).getInstance();
        instance.setStringProperty(testValue);
        assertEquals(""Check String property"", testValue, instance.getStringProperty());

        // Test Valid Get & Set
        try {
            testValue = ""Some new value"";
            bean.set(testProperty, testValue);
            assertEquals(""Test Set"", testValue, instance.getStringProperty());
            assertEquals(""Test Get"", testValue, bean.get(testProperty));
        } catch (final IllegalArgumentException t) {
            fail(""Get threw exception: "" + t);
        }
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testIndexedProperties(),"/**
     * The <code>set()</code> method.
     */",,"public void testIndexedProperties() {

        // Invalid getter
        try {
            bean.get(""invalidProperty"", 0);
            fail(""Invalid get should have thrown IllegalArgumentException"");
        } catch (final IllegalArgumentException t) {
            // Expected result
        }

        // Invalid setter
        try {
            bean.set(""invalidProperty"", 0, ""XYZ"");
            fail(""Invalid set should have thrown IllegalArgumentException"");
        } catch (final IllegalArgumentException t) {
            // Expected result
        }

        // Set up initial Value
        String testValue = ""Original Value"";
        final String testProperty = ""stringIndexed"";
        final TestBean instance = (TestBean)((WrapDynaBean)bean).getInstance();
        instance.setStringIndexed(0, testValue);
        assertEquals(""Check String property"", testValue, instance.getStringIndexed(0));

        // Test Valid Get & Set
        try {
            testValue = ""Some new value"";
            bean.set(testProperty, 0, testValue);
            assertEquals(""Test Set"", testValue, instance.getStringIndexed(0));
            assertEquals(""Test Get"", testValue, bean.get(testProperty, 0));
        } catch (final IllegalArgumentException t) {
            fail(""Get threw exception: "" + t);
        }

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testMappedContains(),"/**
     * The <code>contains()</code> method is not supported by the
     * <code>WrapDynaBean</code> implementation class.
     */",,"@Override
    public void testMappedContains() {

        try {
            assertTrue(""Can see first key"",bean.contains(""mappedProperty"",""First Key""));
            fail(""Should have thrown UnsupportedOperationException"");
        } catch (final UnsupportedOperationException t) {
            // Expected result
        } catch (final Throwable t) {
            fail(""Exception: "" + t);
        }


        try {
            assertTrue(""Can not see unknown key"",!bean.contains(""mappedProperty"",""Unknown Key""));
            fail(""Should have thrown UnsupportedOperationException"");
        } catch (final UnsupportedOperationException t) {
            // Expected result
        } catch (final Throwable t) {
            fail(""Exception: "" + t);
        }

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testMappedRemove(),"/**
     * The <code>remove()</code> method is not supported by the
     * <code>WrapDynaBean</code> implementation class.
     */",,"@Override
    public void testMappedRemove() {

        try {
            assertTrue(""Can see first key"",bean.contains(""mappedProperty"",""First Key""));
            bean.remove(""mappedProperty"", ""First Key"");
            fail(""Should have thrown UnsupportedOperationException"");
            //            assertTrue(""Can not see first key"",
            //         !bean.contains(""mappedProperty"", ""First Key""));
        } catch (final UnsupportedOperationException t) {
            // Expected result
        } catch (final Throwable t) {
            fail(""Exception: "" + t);
        }

        try {
            assertTrue(""Can not see unknown key"",!bean.contains(""mappedProperty"",""Unknown Key""));
            bean.remove(""mappedProperty"", ""Unknown Key"");
            fail(""Should have thrown UnsupportedOperationException"");
            //            assertTrue(""Can not see unknown key"",
            //         !bean.contains(""mappedProperty"", ""Unknown Key""));
        } catch (final UnsupportedOperationException t) {
            // Expected result
        } catch (final Throwable t) {
            fail(""Exception: "" + t);
        }

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testGetInstance(),/** Tests getInstance method */,,"public void testGetInstance() {
        final AlphaBean alphaBean = new AlphaBean(""Now On Air... John Peel"");
        final WrapDynaBean dynaBean = new WrapDynaBean(alphaBean);
        final Object wrappedInstance = dynaBean.getInstance();
        assertTrue(""Object type is AlphaBean"", wrappedInstance instanceof AlphaBean);
        final AlphaBean wrappedAlphaBean = (AlphaBean) wrappedInstance;
        assertTrue(""Same Object"", wrappedAlphaBean == alphaBean);
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testNewInstance(),/** Tests the newInstance implementation for WrapDynaClass */,,"public void testNewInstance() throws Exception {
        final WrapDynaClass dynaClass = WrapDynaClass.createDynaClass(AlphaBean.class);
        final Object createdInstance = dynaClass.newInstance();
        assertTrue(""Object type is WrapDynaBean"", createdInstance instanceof WrapDynaBean);
        final WrapDynaBean dynaBean = (WrapDynaBean) createdInstance;
        assertTrue(""Object type is AlphaBean"", dynaBean.getInstance() instanceof AlphaBean);
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testSerialization(),"/**
     * Serialization and deserialization tests.
     * (WrapDynaBean is now serializable, although WrapDynaClass still is not)
     */",,"@Override
    public void testSerialization() {

        // Create a bean and set a value
        final WrapDynaBean origBean = new WrapDynaBean(new TestBean());
        final Integer newValue = new Integer(789);
        assertEquals(""origBean default"", new Integer(123), origBean.get(""intProperty""));
        origBean.set(""intProperty"", newValue);
        assertEquals(""origBean new value"", newValue, origBean.get(""intProperty""));

        // Serialize/Deserialize & test value
        final WrapDynaBean bean = (WrapDynaBean)serializeDeserialize(origBean, ""First Test"");
        assertEquals(""bean value"", newValue, bean.get(""intProperty""));

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,"serializeDeserialize(final Object target, final String text)","/**
     * Do serialization and deserialization.
     */",,"private Object serializeDeserialize(final Object target, final String text) {

        // Serialize the test object
        final ByteArrayOutputStream baos = new ByteArrayOutputStream();
        try {
            final ObjectOutputStream oos = new ObjectOutputStream(baos);
            oos.writeObject(target);
            oos.flush();
            oos.close();
        } catch (final Exception e) {
            fail(text + "": Exception during serialization: "" + e);
        }

        // Deserialize the test object
        Object result = null;
        try {
            final ByteArrayInputStream bais =
                new ByteArrayInputStream(baos.toByteArray());
            final ObjectInputStream ois = new ObjectInputStream(bais);
            result = ois.readObject();
            bais.close();
        } catch (final Exception e) {
            fail(text + "": Exception during deserialization: "" + e);
        }
        return result;

    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testInitWithDynaClass(),"/**
     * Tests whether a WrapDynaClass can be provided when constructing a bean.
     */",,"public void testInitWithDynaClass() {
        final WrapDynaClass clazz = WrapDynaClass.createDynaClass(TestBean.class);
        bean = new WrapDynaBean(new TestBean(), clazz);
        assertSame(""Wrong DynaClass"", clazz, bean.getDynaClass());
        checkSimplePropertyAccess();
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testGetWrapDynaClassFromCache(),"/**
     * Tests whether caching works for WrapDynaClass objects.
     */",,"public void testGetWrapDynaClassFromCache() {
        final WrapDynaClass clazz = WrapDynaClass.createDynaClass(TestBean.class);
        assertSame(""Instance not cached"",clazz,WrapDynaClass.createDynaClass(TestBean.class));
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testGetWrapDynaClassFromCacheWithPropUtils(),"/**
     * Tests whether the PropertyUtilsBean instance associated with a WrapDynaClass is
     * taken into account when accessing an instance from the cache.
     */",,"public void testGetWrapDynaClassFromCacheWithPropUtils() {
        final WrapDynaClass clazz = WrapDynaClass.createDynaClass(TestBean.class);
        final PropertyUtilsBean pu = new PropertyUtilsBean();
        final WrapDynaClass clazz2 = WrapDynaClass.createDynaClass(TestBean.class, pu);
        assertNotSame(""Got same instance from cache"", clazz, clazz2);
    }"
org.apache.commons.beanutils.WrapDynaBeanTestCase,void testIntrospectionWithCustomPropUtils(),"/**
     * Tests whether a custom PropertyUtilsBean instance can be used for introspection of
     * bean properties.
     */",,"public void testIntrospectionWithCustomPropUtils() {
        final PropertyUtilsBean pu = new PropertyUtilsBean();
        pu.addBeanIntrospector(new FluentPropertyBeanIntrospector());
        final WrapDynaClass dynaClass = WrapDynaClass.createDynaClass(
                FluentIntrospectionTestBean.class, pu);
        final FluentIntrospectionTestBean obj = new FluentIntrospectionTestBean();
        bean = new WrapDynaBean(obj, dynaClass);
        bean.set(""fluentProperty"", ""testvalue"");
        assertEquals(""Property not set"", ""testvalue"", obj.getStringProperty());
    }"
org.apache.commons.beanutils.AbstractChild,void setName(final String name),,,"protected void setName(final String name)
    {
        this.name = name;
    }"
org.apache.commons.beanutils.AbstractChild,getName(),,,"public String getName()
    {
        return name;
    }"
org.apache.commons.beanutils.MappedPropertyTestInterface,getMapproperty(String key),,,public String getMapproperty(String key);
org.apache.commons.beanutils.MappedPropertyTestInterface,"void setMapproperty(String key, String value)",,,"public void setMapproperty(String key, String value);"
org.apache.commons.beanutils.AlphaBean,getName(),,,"public String getName() {
        return name;
    }"
org.apache.commons.beanutils.AlphaBean,void setName(final String name),,,"public void setName(final String name) {
        this.name = name;
    }"
org.apache.commons.beanutils.AlphaBean,void bogus(final String badParameter),"/**
     * Used for testing that correct exception is thrown.
     */",,public void bogus(final String badParameter){}
org.apache.commons.beanutils.bugs.Jira339TestCase,void main(final String[] args),"/**
     * Run the Test.
     *
     * @param args Arguments
     */",,"public static void main(final String[] args) {
        junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase,suite(),"/**
     * Create a test suite for this test.
     *
     * @return a test suite
     */",,"public static Test suite() {
        return (new TestSuite(Jira339TestCase.class));
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase,void setUp(),"/**
     * Set up.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void setUp() throws Exception {
        super.setUp();
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase,void tearDown(),"/**
     * Tear Down.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void tearDown() throws Exception {
        super.tearDown();
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase,void testIssue_BEANUTILS_339_BeanUtilsBean_setProperty(),"/**
     * Test {@link PropertyUtils#setProperty(Object, String, Object)}
     */",,"public void testIssue_BEANUTILS_339_BeanUtilsBean_setProperty() {

        final TestBean bean = new TestBean();
        try {
            BeanUtils.setProperty(bean, ""comparator"", null);
        } catch (final Throwable t) {
            log.error(""Failed: "" + t.getMessage(), t);
            fail(""Threw exception: "" + t);
        }
        assertNull(""TestBean comparator should be null"", bean.getComparator());
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase,void testIssue_BEANUTILS_331_BeanUtilsBean_populate(),"/**
     * Test {@link BeanUtils#populate(Object, Map)}
     */",,"public void testIssue_BEANUTILS_331_BeanUtilsBean_populate() {

        final TestBean bean = new TestBean();
        try {
            final Map<String, Object> properties = new HashMap<String, Object>();
            properties.put(""comparator"", null);
            BeanUtils.populate(bean, properties);
        } catch (final Throwable t) {
            log.error(""Failed: "" + t.getMessage(), t);
            fail(""Threw exception: "" + t);
        }
        assertNull(""TestBean comparator should be null"", bean.getComparator());
    }"
org.apache.commons.beanutils.bugs.Jira339TestCase.TestBean,getComparator(),"/**
         * Return the comparator.
         *
         * @return the comparator
         */",,"public Comparator<?> getComparator() {
            return comparator;
        }"
org.apache.commons.beanutils.bugs.Jira339TestCase.TestBean,void setComparator(final Comparator<?> comparator),"/**
         * Set the comparator.
         *
         * @param comparator the comparator
         */",,"public void setComparator(final Comparator<?> comparator) {
            this.comparator = comparator;
        }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void main(final String[] args),"/**
     * Run the Test.
     *
     * @param args Arguments
     */",,"public static void main(final String[] args) {
        junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,suite(),"/**
     * Create a test suite for this test.
     *
     * @return a test suite
     */",,"public static Test suite() {
        return (new TestSuite(Jira18TestCase.class));
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void setUp(),"/**
     * Set up.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void setUp() throws Exception {
        super.setUp();
        bean = Jira18BeanFactory.createBean();
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void tearDown(),"/**
     * Tear Down.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void tearDown() throws Exception {
        super.tearDown();
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isReadable(),"/**
     * Test {@link PropertyUtils#isReadable(Object, String)}
     * for simple properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isReadable() {
        boolean result = false;
        try {
            result = PropertyUtils.isReadable(bean, ""simple"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isReadable(bean, \""simple\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isWriteable(),"/**
     * Test {@link PropertyUtils#isWriteable(Object, String)}
     * for simple properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isWriteable() {
        boolean result = false;
        try {
            result = PropertyUtils.isWriteable(bean, ""simple"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isWriteable(bean, \""simple\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isReadable_Indexed(),"/**
     * Test {@link PropertyUtils#isReadable(Object, String)}
     * for indexed properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isReadable_Indexed() {
        boolean result = false;
        try {
            result = PropertyUtils.isReadable(bean, ""indexed"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isReadable(bean, \""indexed\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isWriteable_Indexed(),"/**
     * Test {@link PropertyUtils#isWriteable(Object, String)}
     * for indexed properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isWriteable_Indexed() {
        boolean result = false;
        try {
            result = PropertyUtils.isWriteable(bean, ""indexed"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isWriteable(bean, \""indexed\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isReadable_Mapped(),"/**
     * Test {@link PropertyUtils#isReadable(Object, String)}
     * for Mapped properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isReadable_Mapped() {
        boolean result = false;
        try {
            result = PropertyUtils.isReadable(bean, ""mapped"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isReadable(bean, \""mapped\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_isWriteable_Mapped(),"/**
     * Test {@link PropertyUtils#isWriteable(Object, String)}
     * for Mapped properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_isWriteable_Mapped() {
        boolean result = false;
        try {
            result = PropertyUtils.isWriteable(bean, ""mapped"");
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertFalse(""PropertyUtils.isWriteable(bean, \""mapped\"") returned true"", result);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_getProperty(),"/**
     * Test {@link PropertyUtils#getProperty(Object, String)}
     * for simple properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_getProperty() {
        boolean threwNoSuchMethodException = false;
        Object result = null;
        try {
            result = PropertyUtils.getProperty(bean, ""simple"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException but returned '"" + result + ""'"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_setProperty(),"/**
     * Test {@link PropertyUtils#setProperty(Object, String, Object)}
     * for simple properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_setProperty() {
        boolean threwNoSuchMethodException = false;
        try {
            PropertyUtils.setProperty(bean, ""simple"", ""BAR"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_getProperty_Indexed(),"/**
     * Test {@link PropertyUtils#getProperty(Object, String)}
     * for indexed properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_getProperty_Indexed() {
        boolean threwNoSuchMethodException = false;
        Object result = null;
        try {
            result = PropertyUtils.getProperty(bean, ""indexed[0]"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException but returned '"" + result + ""'"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_setProperty_Indexed(),"/**
     * Test {@link PropertyUtils#setProperty(Object, String, Object)}
     * for indexed properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_setProperty_Indexed() {
        boolean threwNoSuchMethodException = false;
        try {
            PropertyUtils.setProperty(bean, ""indexed[0]"", ""BAR"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_getProperty_Mapped(),"/**
     * Test {@link PropertyUtils#getProperty(Object, String)}
     * for mapped properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_getProperty_Mapped() {
        boolean threwNoSuchMethodException = false;
        Object result = null;
        try {
            result = PropertyUtils.getProperty(bean, ""mapped(foo-key)"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException but returned '"" + result + ""'"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira18TestCase,void testIssue_BEANUTILS_18_PropertyUtils_setProperty_Mapped(),"/**
     * Test {@link PropertyUtils#setProperty(Object, String, Object)}
     * for mapped properties.
     */",,"public void testIssue_BEANUTILS_18_PropertyUtils_setProperty_Mapped() {
        boolean threwNoSuchMethodException = false;
        try {
            PropertyUtils.setProperty(bean, ""mapped(foo-key)"", ""BAR"");
        } catch (final NoSuchMethodException ex) {
            threwNoSuchMethodException = true; // expected result
        } catch (final Throwable t) {
            log.error(""ERROR "" + t, t);
            fail(""Threw exception: "" + t);
        }
        assertTrue(""Expected NoSuchMethodException"", threwNoSuchMethodException);
    }"
org.apache.commons.beanutils.bugs.Jira454TestCase,void testCopyProperties(),,,"public void testCopyProperties() throws Exception {
        final TestBean bean = new TestBean();
        final TestBean b2 = new TestBean();
        BeanUtils.copyProperties(b2, bean);
        assertNull(""Got a creation date"", b2.getCreatedAt());
    }"
org.apache.commons.beanutils.bugs.Jira454TestCase.TestBean,getCreatedAt(),,,"public Date getCreatedAt() {
            return createdAt;
        }"
org.apache.commons.beanutils.bugs.Jira454TestCase.TestBean,void setCreatedAt(final Date createdAt),,,"public void setCreatedAt(final Date createdAt) {
            this.createdAt = createdAt;
        }"
org.apache.commons.beanutils.bugs.Jira463TestCase,void testSuppressClassProperty(),"/**
     * Tests that with a specialized {@code BeanIntrospector} implementation the class
     * property can be suppressed.
     */",,"public void testSuppressClassProperty() throws Exception {
        final BeanUtilsBean bub = new BeanUtilsBean();
        bub.getPropertyUtils().addBeanIntrospector(
                SuppressPropertiesBeanIntrospector.SUPPRESS_CLASS);
        final AlphaBean bean = new AlphaBean();
        try {
            bub.getProperty(bean, ""class"");
            fail(""Could access class property!"");
        } catch (final NoSuchMethodException ex) {
            // ok
        }
    }"
org.apache.commons.beanutils.bugs.RootBeanB,getFile(),,,"public String[] getFile() {
        return file;
    }"
org.apache.commons.beanutils.bugs.RootBeanB,void setFile(final String[] file),,,"public void setFile(final String[] file) {
        this.file = file;
    }"
org.apache.commons.beanutils.bugs.RootBeanB,getFile(final int i),,,"public String getFile(final int i) {
        return file[i];
    }"
org.apache.commons.beanutils.bugs.RootBeanB,"void setFile(final int i, final String file)",,,"public void setFile(final int i, final String file) {
        this.file[i] = file;
    }"
org.apache.commons.beanutils.bugs.Jira298TestCase,void main(final String[] args),"/**
     * Run the Test.
     *
     * @param args Arguments
     */",,"public static void main(final String[] args) {
        junit.textui.TestRunner.run(suite());
    }"
org.apache.commons.beanutils.bugs.Jira298TestCase,suite(),"/**
     * Create a test suite for this test.
     *
     * @return a test suite
     */",,"public static Test suite() {
        return (new TestSuite(Jira298TestCase.class));
    }"
org.apache.commons.beanutils.bugs.Jira298TestCase,void setUp(),"/**
     * Set up.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void setUp() throws Exception {
        super.setUp();
    }"
org.apache.commons.beanutils.bugs.Jira298TestCase,void tearDown(),"/**
     * Tear Down.
     *
     * @throws java.lang.Exception
     */",,"@Override
    protected void tearDown() throws Exception {
        super.tearDown();
    }"
