classname,method,docstring,method_definition
org.jsoup.safety.Safelist,isValidAnchor(String value),,"private boolean isValidAnchor(String value) {
        return value.startsWith(""#"") && !value.matches("".*\\s.*"");
    }"
org.jsoup.safety.Safelist,getEnforcedAttributes(String tagName),,"Attributes getEnforcedAttributes(String tagName) {
        Attributes attrs = new Attributes();
        TagName tag = TagName.valueOf(tagName);
        if (enforcedAttributes.containsKey(tag)) {
            Map<AttributeKey, AttributeValue> keyVals = enforcedAttributes.get(tag);
            for (Map.Entry<AttributeKey, AttributeValue> entry : keyVals.entrySet()) {
                attrs.put(entry.getKey().toString(), entry.getValue().toString());
            }
        }
        return attrs;
    }"
org.jsoup.safety.Safelist.TagName,valueOf(String value),,"static TagName valueOf(String value) {
            return new TagName(value);
        }"
org.jsoup.safety.Safelist.AttributeKey,valueOf(String value),,"static AttributeKey valueOf(String value) {
            return new AttributeKey(value);
        }"
org.jsoup.safety.Safelist.AttributeValue,valueOf(String value),,"static AttributeValue valueOf(String value) {
            return new AttributeValue(value);
        }"
org.jsoup.safety.Safelist.Protocol,valueOf(String value),,"static Protocol valueOf(String value) {
            return new Protocol(value);
        }"
org.jsoup.safety.Safelist.TypedValue,hashCode(),,"@Override
        public int hashCode() {
            final int prime = 31;
            int result = 1;
            result = prime * result + ((value == null) ? 0 : value.hashCode());
            return result;
        }"
org.jsoup.safety.Safelist.TypedValue,equals(Object obj),,"@Override
        public boolean equals(Object obj) {
            if (this == obj) return true;
            if (obj == null) return false;
            if (getClass() != obj.getClass()) return false;
            TypedValue other = (TypedValue) obj;
            if (value == null) {
                return other.value == null;
            } else return value.equals(other.value);
        }"
org.jsoup.safety.Safelist.TypedValue,toString(),,"@Override
        public String toString() {
            return value;
        }"
org.jsoup.safety.Cleaner,clean(Document dirtyDocument),"/**
     Creates a new, clean document, from the original dirty document, containing only elements allowed by the safelist.
     The original document is not modified. Only elements from the dirty document's <code>body</code> are used. The
     OutputSettings of the original document are cloned into the clean document.
     @param dirtyDocument Untrusted base document to clean.
     @return cleaned document.
     */","public Document clean(Document dirtyDocument) {
        Validate.notNull(dirtyDocument);

        Document clean = Document.createShell(dirtyDocument.baseUri());
        copySafeNodes(dirtyDocument.body(), clean.body());
        clean.outputSettings(dirtyDocument.outputSettings().clone());

        return clean;
    }"
org.jsoup.safety.Cleaner,isValid(Document dirtyDocument),"/**
     Determines if the input document <b>body</b>is valid, against the safelist. It is considered valid if all the tags and attributes
     in the input HTML are allowed by the safelist, and that there is no content in the <code>head</code>.
     <p>
     This method can be used as a validator for user input. An invalid document will still be cleaned successfully
     using the {@link #clean(Document)} document. If using as a validator, it is recommended to still clean the document
     to ensure enforced attributes are set correctly, and that the output is tidied.
     </p>
     @param dirtyDocument document to test
     @return true if no tags or attributes need to be removed; false if they do
     */","public boolean isValid(Document dirtyDocument) {
        Validate.notNull(dirtyDocument);

        Document clean = Document.createShell(dirtyDocument.baseUri());
        int numDiscarded = copySafeNodes(dirtyDocument.body(), clean.body());
        return numDiscarded == 0
            && dirtyDocument.head().childNodes().isEmpty(); // because we only look at the body, but we start from a shell, make sure there's nothing in the head
    }"
org.jsoup.safety.Cleaner,isValidBodyHtml(String bodyHtml),,"public boolean isValidBodyHtml(String bodyHtml) {
        Document clean = Document.createShell("""");
        Document dirty = Document.createShell("""");
        ParseErrorList errorList = ParseErrorList.tracking(1);
        List<Node> nodes = Parser.parseFragment(bodyHtml, dirty.body(), """", errorList);
        dirty.body().insertChildren(0, nodes);
        int numDiscarded = copySafeNodes(dirty.body(), clean.body());
        return numDiscarded == 0 && errorList.isEmpty();
    }"
org.jsoup.safety.Cleaner.CleaningVisitor,"void head(Node source, int depth)",,"public void head(Node source, int depth) {
            if (source instanceof Element) {
                Element sourceEl = (Element) source;

                if (safelist.isSafeTag(sourceEl.normalName())) { // safe, clone and copy safe attrs
                    ElementMeta meta = createSafeElement(sourceEl);
                    Element destChild = meta.el;
                    destination.appendChild(destChild);

                    numDiscarded += meta.numAttribsDiscarded;
                    destination = destChild;
                } else if (source != root) { // not a safe tag, so don't add. don't count root against discarded.
                    numDiscarded++;
                }
            } else if (source instanceof TextNode) {
                TextNode sourceText = (TextNode) source;
                TextNode destText = new TextNode(sourceText.getWholeText());
                destination.appendChild(destText);
            } else if (source instanceof DataNode && safelist.isSafeTag(source.parent().nodeName())) {
              DataNode sourceData = (DataNode) source;
              DataNode destData = new DataNode(sourceData.getWholeData());
              destination.appendChild(destData);
            } else { // else, we don't care about comments, xml proc instructions, etc
                numDiscarded++;
            }
        }"
org.jsoup.safety.Cleaner.CleaningVisitor,"void tail(Node source, int depth)",,"public void tail(Node source, int depth) {
            if (source instanceof Element && safelist.isSafeTag(source.nodeName())) {
                destination = destination.parent(); // would have descended, so pop destination stack
            }
        }"
org.jsoup.safety.Cleaner,"copySafeNodes(Element source, Element dest)",,"private int copySafeNodes(Element source, Element dest) {
        CleaningVisitor cleaningVisitor = new CleaningVisitor(source, dest);
        NodeTraversor.traverse(cleaningVisitor, source);
        return cleaningVisitor.numDiscarded;
    }"
org.jsoup.safety.Cleaner,createSafeElement(Element sourceEl),,"private ElementMeta createSafeElement(Element sourceEl) {
        String sourceTag = sourceEl.tagName();
        Attributes destAttrs = new Attributes();
        Element dest = new Element(Tag.valueOf(sourceTag), sourceEl.baseUri(), destAttrs);
        int numDiscarded = 0;

        Attributes sourceAttrs = sourceEl.attributes();
        for (Attribute sourceAttr : sourceAttrs) {
            if (safelist.isSafeAttribute(sourceTag, sourceEl, sourceAttr))
                destAttrs.put(sourceAttr);
            else
                numDiscarded++;
        }
        Attributes enforcedAttrs = safelist.getEnforcedAttributes(sourceTag);
        destAttrs.addAll(enforcedAttrs);

        // Copy the original start and end range, if set
        // TODO - might be good to make a generic Element#userData set type interface, and copy those all over
        if (sourceEl.sourceRange().isTracked())
            sourceEl.sourceRange().track(dest, true);
        if (sourceEl.endSourceRange().isTracked())
            sourceEl.endSourceRange().track(dest, false);

        return new ElementMeta(dest, numDiscarded);
    }"
org.jsoup.internal.StringUtil,"join(Collection<?> strings, String sep)","/**
     * Join a collection of strings by a separator
     * @param strings collection of string objects
     * @param sep string to place between strings
     * @return joined string
     */","public static String join(Collection<?> strings, String sep) {
        return join(strings.iterator(), sep);
    }"
org.jsoup.internal.StringUtil,"join(Iterator<?> strings, String sep)","/**
     * Join a collection of strings by a separator
     * @param strings iterator of string objects
     * @param sep string to place between strings
     * @return joined string
     */","public static String join(Iterator<?> strings, String sep) {
        if (!strings.hasNext())
            return """";

        String start = strings.next().toString();
        if (!strings.hasNext()) // only one, avoid builder
            return start;

        StringJoiner j = new StringJoiner(sep);
        j.add(start);
        while (strings.hasNext()) {
            j.add(strings.next());
        }
        return j.complete();
    }"
org.jsoup.internal.StringUtil,"join(String[] strings, String sep)","/**
     * Join an array of strings by a separator
     * @param strings collection of string objects
     * @param sep string to place between strings
     * @return joined string
     */","public static String join(String[] strings, String sep) {
        return join(Arrays.asList(strings), sep);
    }"
org.jsoup.internal.StringUtil.StringJoiner,add(Object stringy),"/**
         Add another item to the joiner, will be separated
         */","public StringJoiner add(Object stringy) {
            Validate.notNull(sb); // don't reuse
            if (!first)
                sb.append(separator);
            sb.append(stringy);
            first = false;
            return this;
        }"
org.jsoup.internal.StringUtil.StringJoiner,append(Object stringy),"/**
         Append content to the current item; not separated
         */","public StringJoiner append(Object stringy) {
            Validate.notNull(sb); // don't reuse
            sb.append(stringy);
            return this;
        }"
org.jsoup.internal.StringUtil.StringJoiner,complete(),"/**
         Return the joined string, and release the builder back to the pool. This joiner cannot be reused.
         */","public String complete() {
            String string = releaseBuilder(sb);
            sb = null;
            return string;
        }"
org.jsoup.internal.StringUtil,padding(int width),"/**
     * Returns space padding (up to the default max of 30). Use {@link #padding(int, int)} to specify a different limit.
     * @param width amount of padding desired
     * @return string of spaces * width
     * @see #padding(int, int) 
      */","public static String padding(int width) {
        return padding(width, 30);
    }"
org.jsoup.internal.StringUtil,"padding(int width, int maxPaddingWidth)","/**
     * Returns space padding, up to a max of maxPaddingWidth.
     * @param width amount of padding desired
     * @param maxPaddingWidth maximum padding to apply. Set to {@code -1} for unlimited.
     * @return string of spaces * width
     */","public static String padding(int width, int maxPaddingWidth) {
        Validate.isTrue(width >= 0, ""width must be >= 0"");
        Validate.isTrue(maxPaddingWidth >= -1);
        if (maxPaddingWidth != -1)
            width = Math.min(width, maxPaddingWidth);
        if (width < padding.length)
            return padding[width];        
        char[] out = new char[width];
        for (int i = 0; i < width; i++)
            out[i] = ' ';
        return String.valueOf(out);
    }"
org.jsoup.internal.StringUtil,isBlank(final String string),"/**
     * Tests if a string is blank: null, empty, or only whitespace ("" "", \r\n, \t, etc)
     * @param string string to test
     * @return if string is blank
     */","public static boolean isBlank(final String string) {
        if (string == null || string.length() == 0)
            return true;

        int l = string.length();
        for (int i = 0; i < l; i++) {
            if (!StringUtil.isWhitespace(string.codePointAt(i)))
                return false;
        }
        return true;
    }"
org.jsoup.internal.StringUtil,startsWithNewline(final String string),"/**
     Tests if a string starts with a newline character
     @param string string to test
     @return if its first character is a newline
     */","public static boolean startsWithNewline(final String string) {
        if (string == null || string.length() == 0)
            return false;
        return string.charAt(0) == '\n';
    }"
org.jsoup.internal.StringUtil,isNumeric(String string),"/**
     * Tests if a string is numeric, i.e. contains only digit characters
     * @param string string to test
     * @return true if only digit chars, false if empty or null or contains non-digit chars
     */","public static boolean isNumeric(String string) {
        if (string == null || string.length() == 0)
            return false;

        int l = string.length();
        for (int i = 0; i < l; i++) {
            if (!Character.isDigit(string.codePointAt(i)))
                return false;
        }
        return true;
    }"
org.jsoup.internal.StringUtil,isWhitespace(int c),"/**
     * Tests if a code point is ""whitespace"" as defined in the HTML spec. Used for output HTML.
     * @param c code point to test
     * @return true if code point is whitespace, false otherwise
     * @see #isActuallyWhitespace(int)
     */","public static boolean isWhitespace(int c){
        return c == ' ' || c == '\t' || c == '\n' || c == '\f' || c == '\r';
    }"
org.jsoup.internal.StringUtil,isActuallyWhitespace(int c),"/**
     * Tests if a code point is ""whitespace"" as defined by what it looks like. Used for Element.text etc.
     * @param c code point to test
     * @return true if code point is whitespace, false otherwise
     */","public static boolean isActuallyWhitespace(int c){
        return c == ' ' || c == '\t' || c == '\n' || c == '\f' || c == '\r' || c == 160;
        // 160 is &nbsp; (non-breaking space). Not in the spec but expected.
    }"
org.jsoup.internal.StringUtil,isInvisibleChar(int c),,"public static boolean isInvisibleChar(int c) {
        return c == 8203 || c == 173; // zero width sp, soft hyphen
        // previously also included zw non join, zw join - but removing those breaks semantic meaning of text
    }"
org.jsoup.internal.StringUtil,normaliseWhitespace(String string),"/**
     * Normalise the whitespace within this string; multiple spaces collapse to a single, and all whitespace characters
     * (e.g. newline, tab) convert to a simple space.
     * @param string content to normalise
     * @return normalised string
     */","public static String normaliseWhitespace(String string) {
        StringBuilder sb = StringUtil.borrowBuilder();
        appendNormalisedWhitespace(sb, string, false);
        return StringUtil.releaseBuilder(sb);
    }"
org.jsoup.internal.StringUtil,"void appendNormalisedWhitespace(StringBuilder accum, String string, boolean stripLeading)","/**
     * After normalizing the whitespace within a string, appends it to a string builder.
     * @param accum builder to append to
     * @param string string to normalize whitespace within
     * @param stripLeading set to true if you wish to remove any leading whitespace
     */","public static void appendNormalisedWhitespace(StringBuilder accum, String string, boolean stripLeading) {
        boolean lastWasWhite = false;
        boolean reachedNonWhite = false;

        int len = string.length();
        int c;
        for (int i = 0; i < len; i+= Character.charCount(c)) {
            c = string.codePointAt(i);
            if (isActuallyWhitespace(c)) {
                if ((stripLeading && !reachedNonWhite) || lastWasWhite)
                    continue;
                accum.append(' ');
                lastWasWhite = true;
            }
            else if (!isInvisibleChar(c)) {
                accum.appendCodePoint(c);
                lastWasWhite = false;
                reachedNonWhite = true;
            }
        }
    }"
org.jsoup.internal.StringUtil,"in(final String needle, final String... haystack)",,"public static boolean in(final String needle, final String... haystack) {
        final int len = haystack.length;
        for (int i = 0; i < len; i++) {
            if (haystack[i].equals(needle))
            return true;
        }
        return false;
    }"
org.jsoup.internal.StringUtil,"inSorted(String needle, String[] haystack)",,"public static boolean inSorted(String needle, String[] haystack) {
        return Arrays.binarySearch(haystack, needle) >= 0;
    }"
org.jsoup.internal.StringUtil,isAscii(String string),"/**
     Tests that a String contains only ASCII characters.
     @param string scanned string
     @return true if all characters are in range 0 - 127
     */","public static boolean isAscii(String string) {
        Validate.notNull(string);
        for (int i = 0; i < string.length(); i++) {
            int c = string.charAt(i);
            if (c > 127) { // ascii range
                return false;
            }
        }
        return true;
    }"
org.jsoup.internal.StringUtil,"resolve(URL base, String relUrl)","/**
     * Create a new absolute URL, from a provided existing absolute URL and a relative URL component.
     * @param base the existing absolute base URL
     * @param relUrl the relative URL to resolve. (If it's already absolute, it will be returned)
     * @return the resolved absolute URL
     * @throws MalformedURLException if an error occurred generating the URL
     */","public static URL resolve(URL base, String relUrl) throws MalformedURLException {
        relUrl = stripControlChars(relUrl);
        // workaround: java resolves '//path/file + ?foo' to '//path/?foo', not '//path/file?foo' as desired
        if (relUrl.startsWith(""?""))
            relUrl = base.getPath() + relUrl;
        // workaround: //example.com + ./foo = //example.com/./foo, not //example.com/foo
        URL url = new URL(base, relUrl);
        String fixedFile = extraDotSegmentsPattern.matcher(url.getFile()).replaceFirst(""/"");
        if (url.getRef() != null) {
            fixedFile = fixedFile + ""#"" + url.getRef();
        }
        return new URL(url.getProtocol(), url.getHost(), url.getPort(), fixedFile);
    }"
org.jsoup.internal.StringUtil,"resolve(String baseUrl, String relUrl)","/**
     * Create a new absolute URL, from a provided existing absolute URL and a relative URL component.
     * @param baseUrl the existing absolute base URL
     * @param relUrl the relative URL to resolve. (If it's already absolute, it will be returned)
     * @return an absolute URL if one was able to be generated, or the empty string if not
     */","public static String resolve(String baseUrl, String relUrl) {
        // workaround: java will allow control chars in a path URL and may treat as relative, but Chrome / Firefox will strip and may see as a scheme. Normalize to browser's view.
        baseUrl = stripControlChars(baseUrl); relUrl = stripControlChars(relUrl);
        try {
            URL base;
            try {
                base = new URL(baseUrl);
            } catch (MalformedURLException e) {
                // the base is unsuitable, but the attribute/rel may be abs on its own, so try that
                URL abs = new URL(relUrl);
                return abs.toExternalForm();
            }
            return resolve(base, relUrl).toExternalForm();
        } catch (MalformedURLException e) {
            // it may still be valid, just that Java doesn't have a registered stream handler for it, e.g. tel
            // we test here vs at start to normalize supported URLs (e.g. HTTP -> http)
            return validUriScheme.matcher(relUrl).find() ? relUrl : """";
        }
    }"
org.jsoup.internal.StringUtil,stripControlChars(final String input),,"private static String stripControlChars(final String input) {
        return controlChars.matcher(input).replaceAll("""");
    }"
org.jsoup.internal.StringUtil,initialValue(),,"@Override
        protected Stack<StringBuilder> initialValue() {
            return new Stack<>();
        }"
org.jsoup.internal.StringUtil,borrowBuilder(),"/**
     * Maintains cached StringBuilders in a flyweight pattern, to minimize new StringBuilder GCs. The StringBuilder is
     * prevented from growing too large.
     * <p>
     * Care must be taken to release the builder once its work has been completed, with {@link #releaseBuilder}
     * @return an empty StringBuilder
     */","public static StringBuilder borrowBuilder() {
        Stack<StringBuilder> builders = threadLocalBuilders.get();
        return builders.empty() ?
            new StringBuilder(MaxCachedBuilderSize) :
            builders.pop();
    }"
org.jsoup.internal.StringUtil,releaseBuilder(StringBuilder sb),"/**
     * Release a borrowed builder. Care must be taken not to use the builder after it has been returned, as its
     * contents may be changed by this method, or by a concurrent thread.
     * @param sb the StringBuilder to release.
     * @return the string value of the released String Builder (as an incentive to release it!).
     */","public static String releaseBuilder(StringBuilder sb) {
        Validate.notNull(sb);
        String string = sb.toString();

        if (sb.length() > MaxCachedBuilderSize)
            sb = new StringBuilder(MaxCachedBuilderSize); // make sure it hasn't grown too big
        else
            sb.delete(0, sb.length()); // make sure it's emptied on release

        Stack<StringBuilder> builders = threadLocalBuilders.get();
        builders.push(sb);

        while (builders.size() > MaxIdleBuilders) {
            builders.pop();
        }
        return string;
    }"
org.jsoup.internal.Normalizer,lowerCase(final String input),/** Drops the input string to lower case. */,"public static String lowerCase(final String input) {
        return input != null ? input.toLowerCase(Locale.ENGLISH) : """";
    }"
org.jsoup.internal.Normalizer,normalize(final String input),/** Lower-cases and trims the input string. */,"public static String normalize(final String input) {
        return lowerCase(input).trim();
    }"
org.jsoup.internal.Normalizer,"normalize(final String input, boolean isStringLiteral)","/** If a string literal, just lower case the string; otherwise lower-case and trim. */","public static String normalize(final String input, boolean isStringLiteral) {
        return isStringLiteral ? lowerCase(input) : normalize(input);
    }"
org.jsoup.internal.ConstrainableInputStream,"wrap(InputStream in, int bufferSize, int maxSize)","/**
     * If this InputStream is not already a ConstrainableInputStream, let it be one.
     * @param in the input stream to (maybe) wrap
     * @param bufferSize the buffer size to use when reading
     * @param maxSize the maximum size to allow to be read. 0 == infinite.
     * @return a constrainable input stream
     */","public static ConstrainableInputStream wrap(InputStream in, int bufferSize, int maxSize) {
        return in instanceof ConstrainableInputStream
            ? (ConstrainableInputStream) in
            : new ConstrainableInputStream(in, bufferSize, maxSize);
    }"
org.jsoup.internal.ConstrainableInputStream,"read(byte[] b, int off, int len)",,"@Override
    public int read(byte[] b, int off, int len) throws IOException {
        if (interrupted || capped && remaining <= 0)
            return -1;
        if (Thread.interrupted()) {
            // interrupted latches, because parse() may call twice (and we still want the thread interupt to clear)
            interrupted = true;
            return -1;
        }
        if (expired())
            throw new SocketTimeoutException(""Read timeout"");

        if (capped && len > remaining)
            len = remaining; // don't read more than desired, even if available

        try {
            final int read = super.read(b, off, len);
            remaining -= read;
            return read;
        } catch (SocketTimeoutException e) {
            return 0;
        }
    }"
org.jsoup.internal.ConstrainableInputStream,readToByteBuffer(int max),"/**
     * Reads this inputstream to a ByteBuffer. The supplied max may be less than the inputstream's max, to support
     * reading just the first bytes.
     */","public ByteBuffer readToByteBuffer(int max) throws IOException {
        Validate.isTrue(max >= 0, ""maxSize must be 0 (unlimited) or larger"");
        final boolean localCapped = max > 0; // still possibly capped in total stream
        final int bufferSize = localCapped && max < DefaultSize ? max : DefaultSize;
        final byte[] readBuffer = new byte[bufferSize];
        final ByteArrayOutputStream outStream = new ByteArrayOutputStream(bufferSize);

        int read;
        int remaining = max;
        while (true) {
            read = read(readBuffer, 0, localCapped ? Math.min(remaining, bufferSize) : bufferSize);
            if (read == -1) break;
            if (localCapped) { // this local byteBuffer cap may be smaller than the overall maxSize (like when reading first bytes)
                if (read >= remaining) {
                    outStream.write(readBuffer, 0, remaining);
                    break;
                }
                remaining -= read;
            }
            outStream.write(readBuffer, 0, read);
        }
        return ByteBuffer.wrap(outStream.toByteArray());
    }"
org.jsoup.internal.ConstrainableInputStream,void reset(),,"@Override
    public void reset() throws IOException {
        super.reset();
        remaining = maxSize - markpos;
    }"
org.jsoup.internal.ConstrainableInputStream,"timeout(long startTimeNanos, long timeoutMillis)",,"public ConstrainableInputStream timeout(long startTimeNanos, long timeoutMillis) {
        this.startTime = startTimeNanos;
        this.timeout = timeoutMillis * 1000000;
        return this;
    }"
org.jsoup.internal.ConstrainableInputStream,expired(),,"private boolean expired() {
        if (timeout == 0)
            return false;

        final long now = System.nanoTime();
        final long dur = now - startTime;
        return (dur > timeout);
    }"
org.jsoup.nodes.Attribute,getKey(),"/**
     Get the attribute key.
     @return the attribute key
     */","@Override
    public String getKey() {
        return key;
    }"
org.jsoup.nodes.Attribute,void setKey(String key),"/**
     Set the attribute key; case is preserved.
     @param key the new key; must not be null
     */","public void setKey(String key) {
        Validate.notNull(key);
        key = key.trim();
        Validate.notEmpty(key); // trimming could potentially make empty, so validate here
        if (parent != null) {
            int i = parent.indexOfKey(this.key);
            if (i != Attributes.NotFound)
                parent.keys[i] = key;
        }
        this.key = key;
    }"
org.jsoup.nodes.Attribute,getValue(),"/**
     Get the attribute value. Will return an empty string if the value is not set.
     @return the attribute value
     */","@Override
    public String getValue() {
        return Attributes.checkNotNull(val);
    }"
org.jsoup.nodes.Attribute,hasDeclaredValue(),"/**
     * Check if this Attribute has a value. Set boolean attributes have no value.
     * @return if this is a boolean attribute / attribute without a value
     */","public boolean hasDeclaredValue() {
        return val != null;
    }"
org.jsoup.nodes.Attribute,setValue(@Nullable String val),"/**
     Set the attribute value.
     @param val the new attribute value; may be null (to set an enabled boolean attribute)
     @return the previous value (if was null; an empty string)
     */","public String setValue(@Nullable String val) {
        String oldVal = this.val;
        if (parent != null) {
            int i = parent.indexOfKey(this.key);
            if (i != Attributes.NotFound) {
                oldVal = parent.get(this.key); // trust the container more
                parent.vals[i] = val;
            }
        }
        this.val = val;
        return Attributes.checkNotNull(oldVal);
    }"
org.jsoup.nodes.Attribute,html(),"/**
     Get the HTML representation of this attribute; e.g. {@code href=""index.html""}.
     @return HTML
     */","public String html() {
        StringBuilder sb = StringUtil.borrowBuilder();
        
        try {
        	html(sb, (new Document("""")).outputSettings());
        } catch(IOException exception) {
        	throw new SerializationException(exception);
        }
        return StringUtil.releaseBuilder(sb);
    }"
org.jsoup.nodes.Attribute,"void html(Appendable accum, Document.OutputSettings out)",,"protected void html(Appendable accum, Document.OutputSettings out) throws IOException {
        html(key, val, accum, out);
    }"
org.jsoup.nodes.Attribute,"void html(String key, @Nullable String val, Appendable accum, Document.OutputSettings out)",,"protected static void html(String key, @Nullable String val, Appendable accum, Document.OutputSettings out) throws IOException {
        key = getValidKey(key, out.syntax());
        if (key == null) return; // can't write it :(
        htmlNoValidate(key, val, accum, out);
    }"
org.jsoup.nodes.Attribute,"void htmlNoValidate(String key, @Nullable String val, Appendable accum, Document.OutputSettings out)",,"static void htmlNoValidate(String key, @Nullable String val, Appendable accum, Document.OutputSettings out) throws IOException {
        // structured like this so that Attributes can check we can write first, so it can add whitespace correctly
        accum.append(key);
        if (!shouldCollapseAttribute(key, val, out)) {
            accum.append(""=\"""");
            Entities.escape(accum, Attributes.checkNotNull(val) , out, true, false, false, false);
            accum.append('""');
        }
    }"
org.jsoup.nodes.Attribute,"getValidKey(String key, Syntax syntax)",,"@Nullable public static String getValidKey(String key, Syntax syntax) {
        // we consider HTML attributes to always be valid. XML checks key validity
        if (syntax == Syntax.xml && !xmlKeyValid.matcher(key).matches()) {
            key = xmlKeyReplace.matcher(key).replaceAll("""");
            return xmlKeyValid.matcher(key).matches() ? key : null; // null if could not be coerced
        }
        else if (syntax == Syntax.html && !htmlKeyValid.matcher(key).matches()) {
            key = htmlKeyReplace.matcher(key).replaceAll("""");
            return htmlKeyValid.matcher(key).matches() ? key : null; // null if could not be coerced
        }
        return key;
    }"
org.jsoup.nodes.Attribute,toString(),"/**
     Get the string representation of this attribute, implemented as {@link #html()}.
     @return string
     */","@Override
    public String toString() {
        return html();
    }"
org.jsoup.nodes.Attribute,"createFromEncoded(String unencodedKey, String encodedValue)","/**
     * Create a new Attribute from an unencoded key and a HTML attribute encoded value.
     * @param unencodedKey assumes the key is not encoded, as can be only run of simple \w chars.
     * @param encodedValue HTML attribute encoded value
     * @return attribute
     */","public static Attribute createFromEncoded(String unencodedKey, String encodedValue) {
        String value = Entities.unescape(encodedValue, true);
        return new Attribute(unencodedKey, value, null); // parent will get set when Put
    }"
org.jsoup.nodes.Attribute,isDataAttribute(),,"protected boolean isDataAttribute() {
        return isDataAttribute(key);
    }"
org.jsoup.nodes.Attribute,isDataAttribute(String key),,"protected static boolean isDataAttribute(String key) {
        return key.startsWith(Attributes.dataPrefix) && key.length() > Attributes.dataPrefix.length();
    }"
org.jsoup.nodes.Attribute,shouldCollapseAttribute(Document.OutputSettings out),"/**
     * Collapsible if it's a boolean attribute and value is empty or same as name
     * 
     * @param out output settings
     * @return  Returns whether collapsible or not
     */","protected final boolean shouldCollapseAttribute(Document.OutputSettings out) {
        return shouldCollapseAttribute(key, val, out);
    }"
org.jsoup.nodes.Attribute,"shouldCollapseAttribute(final String key, @Nullable final String val, final Document.OutputSettings out)",,"protected static boolean shouldCollapseAttribute(final String key, @Nullable final String val, final Document.OutputSettings out) {
        return (
            out.syntax() == Syntax.html &&
                (val == null || (val.isEmpty() || val.equalsIgnoreCase(key)) && Attribute.isBooleanAttribute(key)));
    }"
org.jsoup.nodes.Attribute,isBooleanAttribute(final String key),"/**
     * Checks if this attribute name is defined as a boolean attribute in HTML5
     */","public static boolean isBooleanAttribute(final String key) {
        return Arrays.binarySearch(booleanAttributes, Normalizer.lowerCase(key)) >= 0;
    }"
org.jsoup.nodes.Attribute,equals(@Nullable Object o),,"@Override
    public boolean equals(@Nullable Object o) { // note parent not considered
        if (this == o) return true;
        if (o == null || getClass() != o.getClass()) return false;
        Attribute attribute = (Attribute) o;
        if (key != null ? !key.equals(attribute.key) : attribute.key != null) return false;
        return val != null ? val.equals(attribute.val) : attribute.val == null;
    }"
org.jsoup.nodes.Attribute,hashCode(),,"@Override
    public int hashCode() { // note parent not considered
        int result = key != null ? key.hashCode() : 0;
        result = 31 * result + (val != null ? val.hashCode() : 0);
        return result;
    }"
org.jsoup.nodes.Attribute,clone(),,"@Override
    public Attribute clone() {
        try {
            return (Attribute) super.clone();
        } catch (CloneNotSupportedException e) {
            throw new RuntimeException(e);
        }
    }"
org.jsoup.nodes.Node,nodeName(),"/**
     Get the node name of this node. Use for debugging purposes and not logic switching (for that, use instanceof).
     @return node name
     */",public abstract String nodeName();
org.jsoup.nodes.Node,hasAttributes(),"/**
     * Check if this Node has an actual Attributes object.
     */",protected abstract boolean hasAttributes();
org.jsoup.nodes.Node,hasParent(),"/**
     Checks if this node has a parent. Nodes won't have parents if (e.g.) they are newly created and not added as a child
     to an existing node, or if they are a {@link #shallowClone()}. In such cases, {@link #parent()} will return {@code null}.
     @return if this node has a parent.
     */","public boolean hasParent() {
        return parentNode != null;
    }"
org.jsoup.nodes.Node,attr(String attributeKey),"/**
     * Get an attribute's value by its key. <b>Case insensitive</b>
     * <p>
     * To get an absolute URL from an attribute that may be a relative URL, prefix the key with <code><b>abs</b></code>,
     * which is a shortcut to the {@link #absUrl} method.
     * </p>
     * E.g.:
     * <blockquote><code>String url = a.attr(""abs:href"");</code></blockquote>
     *
     * @param attributeKey The attribute key.
     * @return The attribute, or empty string if not present (to avoid nulls).
     * @see #attributes()
     * @see #hasAttr(String)
     * @see #absUrl(String)
     */","public String attr(String attributeKey) {
        Validate.notNull(attributeKey);
        if (!hasAttributes())
            return EmptyString;

        String val = attributes().getIgnoreCase(attributeKey);
        if (val.length() > 0)
            return val;
        else if (attributeKey.startsWith(""abs:""))
            return absUrl(attributeKey.substring(""abs:"".length()));
        else return """";
    }"
org.jsoup.nodes.Node,attributes(),"/**
     * Get all of the element's attributes.
     * @return attributes (which implements iterable, in same order as presented in original HTML).
     */",public abstract Attributes attributes();
org.jsoup.nodes.Node,attributesSize(),"/**
     Get the number of attributes that this Node has.
     @return the number of attributes
     @since 1.14.2
     */","public int attributesSize() {
        // added so that we can test how many attributes exist without implicitly creating the Attributes object
        return hasAttributes() ? attributes().size() : 0;
    }"
org.jsoup.nodes.Node,"attr(String attributeKey, String attributeValue)","/**
     * Set an attribute (key=value). If the attribute already exists, it is replaced. The attribute key comparison is
     * <b>case insensitive</b>. The key will be set with case sensitivity as set in the parser settings.
     * @param attributeKey The attribute key.
     * @param attributeValue The attribute value.
     * @return this (for chaining)
     */","public Node attr(String attributeKey, String attributeValue) {
        attributeKey = NodeUtils.parser(this).settings().normalizeAttribute(attributeKey);
        attributes().putIgnoreCase(attributeKey, attributeValue);
        return this;
    }"
